exp,idx,jatosID,cbcond,trial,stimID,cond,KP_zm,KP_conf,RT_zm,RT_conf,hmfc,rating16,sex_kp_mfor,age_kp,studresp,stud_jud,presented
EA_exp_3,1,28726,2,111,190,1,z,1,1791,3919,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,112,43,2,m,1,4050,323,fa,4,f,20,NA,NA,NA
EA_exp_3,1,28726,2,113,100,2,z,3,2265,2771,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,114,179,1,m,2,1539,349,hit,4,f,20,q,older,1
EA_exp_3,1,28726,2,115,153,1,z,2,1279,469,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,116,77,2,z,3,1649,360,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,117,130,1,m,4,3548,818,hit,6,f,20,q,older,1
EA_exp_3,1,28726,2,118,10,2,z,2,3252,2454,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,119,171,1,z,2,3381,289,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,120,66,2,z,2,885,203,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,121,101,1,m,2,1909,223,hit,4,f,20,q,older,1
EA_exp_3,1,28726,2,122,36,2,z,2,1108,227,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,123,44,2,z,3,1368,220,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,124,116,1,m,2,2469,840,hit,4,f,20,q,older,1
EA_exp_3,1,28726,2,125,132,1,z,3,1143,305,miss,2,f,20,p,younger,1
EA_exp_3,1,28726,2,126,143,1,m,2,1942,287,hit,4,f,20,q,older,1
EA_exp_3,1,28726,2,127,148,1,z,2,2053,1002,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,128,178,1,m,2,1650,1528,hit,4,f,20,q,older,1
EA_exp_3,1,28726,2,129,20,2,z,3,2507,733,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,130,180,1,z,2,10144,1114,miss,3,f,20,p,younger,1
EA_exp_3,1,28726,2,131,64,2,z,2,1888,218,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,132,87,2,m,2,1890,238,fa,4,f,20,NA,NA,NA
EA_exp_3,1,28726,2,133,115,1,z,2,2389,1069,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,134,169,1,m,2,2110,1044,hit,4,f,20,p,younger,1
EA_exp_3,1,28726,2,135,25,2,z,3,1017,378,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,136,136,1,z,3,1081,233,miss,2,f,20,q,older,1
