exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_2,4,1,16,183,6,9,5,j,1,3433,442,1,3,3,new,old,female,25
EA_exp_2,4,1,17,177,8,84,7,j,1,2948,297,1,4,4,new,old,female,25
EA_exp_2,4,1,18,82,3,182,4,d,2,2985,669,1,2,2,old,new,female,25
EA_exp_2,4,1,19,175,4,32,3,d,3,2591,561,0,2,2,new,old,female,25
EA_exp_2,4,1,20,146,6,66,5,d,1,3458,519,0,3,3,new,old,female,25
EA_exp_2,4,1,21,199,12,87,11,j,4,2784,362,1,6,6,new,old,female,25
EA_exp_2,4,1,22,75,5,194,6,j,4,2327,372,0,3,3,old,new,female,25
EA_exp_2,4,1,23,200,6,83,5,j,1,3875,257,1,3,3,new,old,female,25
EA_exp_2,4,1,24,157,6,72,5,j,1,3239,334,1,3,3,new,old,female,25
EA_exp_2,4,1,25,52,5,172,6,d,1,2350,423,1,3,3,old,new,female,25
EA_exp_2,4,1,26,39,3,167,4,j,2,2775,271,0,2,2,old,new,female,25
EA_exp_2,4,1,27,2,7,134,8,d,3,2287,719,1,4,4,old,new,female,25
EA_exp_2,4,1,28,141,6,63,5,j,3,2432,280,1,3,3,new,old,female,25
EA_exp_2,4,1,29,174,6,27,5,j,2,2250,282,1,3,3,new,old,female,25
EA_exp_2,4,1,30,190,4,42,3,j,1,1627,356,1,2,2,new,old,female,25
EA_exp_2,4,1,31,96,7,138,8,d,4,1490,625,1,4,4,old,new,female,25
EA_exp_2,4,1,32,73,1,168,2,j,2,2115,283,0,1,1,old,new,female,25
EA_exp_2,4,1,33,45,7,198,8,j,4,1883,284,0,4,4,old,new,female,25
EA_exp_2,4,1,34,30,5,187,6,d,2,3294,451,1,3,3,old,new,female,25
EA_exp_2,4,1,35,128,8,41,7,d,1,1961,424,0,4,4,new,old,female,25
EA_exp_2,4,1,36,50,7,131,8,j,3,2165,295,0,4,4,old,new,female,25
EA_exp_2,4,1,37,193,6,48,5,d,2,1943,469,0,3,3,new,old,female,25
EA_exp_2,4,1,38,53,5,184,6,j,4,1535,347,0,3,3,old,new,female,25
EA_exp_2,4,1,39,149,8,7,7,j,2,1915,376,1,4,4,new,old,female,25
EA_exp_2,4,1,40,81,5,152,6,d,1,2724,498,1,3,3,old,new,female,25
EA_exp_2,4,1,41,136,8,61,7,d,4,2875,371,0,4,4,new,old,female,25
EA_exp_2,4,1,42,158,4,62,3,j,2,3392,338,1,2,2,new,old,female,25
EA_exp_2,4,1,43,78,1,116,2,d,3,1775,340,1,1,1,old,new,female,25
EA_exp_2,5,1,1,24,1,168,2,j,1,7763,2562,0,1,1,old,new,female,19
EA_exp_2,5,1,2,83,1,158,2,d,2,4794,3731,1,1,1,old,new,female,19
EA_exp_2,5,1,3,5,1,198,2,j,3,4361,1414,0,1,1,old,new,female,19
EA_exp_2,5,1,4,20,7,102,8,d,3,5724,1119,1,4,4,old,new,female,19
EA_exp_2,5,1,5,46,1,159,2,d,3,4622,753,1,1,1,old,new,female,19
EA_exp_2,5,1,6,32,9,148,10,d,3,2189,898,1,5,5,old,new,female,19
EA_exp_2,5,1,7,47,5,200,6,d,3,2460,417,1,3,3,old,new,female,19
EA_exp_2,5,1,8,92,1,105,2,d,2,2653,2301,1,1,1,old,new,female,19
EA_exp_2,5,1,9,41,3,114,4,d,2,2288,460,1,2,2,old,new,female,19
EA_exp_2,5,1,10,33,5,183,6,j,3,2775,451,0,3,3,old,new,female,19
EA_exp_2,5,1,11,51,1,132,2,j,1,2524,225,0,1,1,old,new,female,19
EA_exp_2,5,1,12,167,4,54,3,d,1,1893,980,0,2,2,new,old,female,19
EA_exp_2,5,1,13,49,9,134,10,d,3,3304,414,1,5,5,old,new,female,19
EA_exp_2,5,1,14,96,5,138,6,d,2,3358,1214,1,3,3,old,new,female,19
EA_exp_2,5,1,15,118,4,61,3,d,3,5116,617,0,2,2,new,old,female,19
EA_exp_2,5,1,16,191,2,65,1,j,1,2689,763,1,1,1,new,old,female,19
EA_exp_2,5,1,17,150,6,25,5,j,1,2589,524,1,3,3,new,old,female,19
EA_exp_2,5,1,18,1,5,165,6,d,3,3047,468,1,3,3,old,new,female,19
EA_exp_2,5,1,19,101,6,52,5,j,1,2333,572,1,3,3,new,old,female,19
EA_exp_2,5,1,20,4,5,141,6,d,2,1857,1024,1,3,3,old,new,female,19
EA_exp_2,5,1,21,111,8,90,7,d,4,1956,817,0,4,4,new,old,female,19
EA_exp_2,5,1,22,67,3,188,4,j,3,2107,945,0,2,2,old,new,female,19
EA_exp_2,5,1,23,166,4,7,3,d,2,2282,743,0,2,2,new,old,female,19
