exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_1b,4,1,2,162,4,68,3,d,3,3594,1732,0,2,2,new,old,female,18
EA_exp_1b,4,1,3,131,6,27,5,j,2,4890,658,1,3,3,new,old,female,18
EA_exp_1b,4,1,4,103,6,35,5,d,2,3431,917,0,3,3,new,old,female,18
EA_exp_1b,4,1,5,75,5,153,6,d,3,2364,744,1,3,3,old,new,female,18
EA_exp_1b,4,1,6,175,4,51,3,d,3,1819,1706,0,2,2,new,old,female,18
EA_exp_1b,4,1,7,28,3,101,4,j,2,2835,778,0,2,2,old,new,female,18
EA_exp_1b,4,1,8,7,7,179,8,j,2,1353,1052,0,4,4,old,new,female,18
EA_exp_1b,4,1,9,86,3,200,4,d,2,1424,640,1,2,2,old,new,female,18
EA_exp_1b,4,1,10,22,5,157,6,j,2,1778,326,0,3,3,old,new,female,18
EA_exp_1b,4,1,11,11,9,164,10,j,2,4228,389,0,5,5,old,new,female,18
EA_exp_1b,4,1,12,141,4,25,3,j,2,1798,597,1,2,2,new,old,female,18
EA_exp_1b,4,1,13,118,4,87,3,j,2,1483,331,1,2,2,new,old,female,18
EA_exp_1b,4,1,14,199,6,61,5,d,2,1528,983,0,3,3,new,old,female,18
EA_exp_1b,4,1,15,100,5,133,6,d,2,3293,386,1,3,3,old,new,female,18
EA_exp_1b,4,1,16,191,8,82,7,d,2,1985,331,0,4,4,new,old,female,18
EA_exp_1b,4,1,17,40,7,170,8,j,2,2557,1022,0,4,4,old,new,female,18
EA_exp_1b,4,1,18,140,6,8,5,j,2,2262,1089,1,3,3,new,old,female,18
EA_exp_1b,4,1,19,134,6,30,5,d,2,1151,463,0,3,3,new,old,female,18
EA_exp_1b,4,1,20,5,3,193,4,j,2,1403,365,0,2,2,old,new,female,18
EA_exp_1b,4,1,21,115,8,95,7,d,2,939,303,0,4,4,new,old,female,18
EA_exp_1b,4,1,22,109,6,85,5,j,3,818,409,1,3,3,new,old,female,18
EA_exp_1b,4,1,23,120,6,70,5,d,3,2661,293,0,3,3,new,old,female,18
EA_exp_1b,4,1,24,110,10,67,9,j,3,1622,207,1,5,5,new,old,female,18
EA_exp_1b,4,1,25,9,5,102,6,d,2,2790,239,1,3,3,old,new,female,18
EA_exp_1b,4,1,26,20,3,155,4,j,2,1938,240,0,2,2,old,new,female,18
EA_exp_1b,4,1,27,66,5,188,6,d,4,1714,920,1,3,3,old,new,female,18
EA_exp_1b,4,1,28,185,6,97,5,j,3,1759,1778,1,3,3,new,old,female,18
EA_exp_1b,4,1,29,31,7,168,8,j,3,1575,851,0,4,4,old,new,female,18
EA_exp_1b,4,1,30,76,9,184,10,d,2,1818,334,1,5,5,old,new,female,18
EA_exp_1b,4,1,31,71,5,135,6,d,2,1166,329,1,3,3,old,new,female,18
EA_exp_1b,4,1,32,83,5,113,6,j,2,1547,981,0,3,3,old,new,female,18
EA_exp_1b,4,1,33,43,11,116,12,d,4,2714,936,1,6,6,old,new,female,18
EA_exp_1b,4,1,34,177,10,79,9,d,4,3793,1378,0,5,5,new,old,female,18
EA_exp_1b,4,1,35,143,10,78,9,j,2,3210,1056,1,5,5,new,old,female,18
EA_exp_1b,4,1,36,176,4,60,3,j,2,1845,596,1,2,2,new,old,female,18
EA_exp_1b,4,1,37,91,3,119,4,j,2,1946,293,0,2,2,old,new,female,18
EA_exp_1b,4,1,38,39,3,108,4,j,3,3781,393,0,2,2,old,new,female,18
EA_exp_1b,4,1,39,33,5,112,6,j,3,2071,846,0,3,3,old,new,female,18
EA_exp_1b,4,1,40,92,11,147,12,d,4,1834,825,1,6,6,old,new,female,18
EA_exp_1b,4,1,41,64,5,127,6,d,3,4431,959,1,3,3,old,new,female,18
EA_exp_1b,4,1,42,130,6,50,5,j,3,2550,345,1,3,3,new,old,female,18
EA_exp_1b,4,1,43,104,8,74,7,j,3,2566,1868,1,4,4,new,old,female,18
EA_exp_1b,4,1,44,172,10,73,9,j,3,2670,317,1,5,5,new,old,female,18
EA_exp_1b,4,1,45,94,5,129,6,d,3,1710,1170,1,3,3,old,new,female,18
EA_exp_1b,4,1,46,180,6,72,5,d,3,1472,271,0,3,3,new,old,female,18
EA_exp_1b,4,1,47,52,3,198,4,j,3,466,249,0,2,2,old,new,female,18
EA_exp_1b,4,1,48,189,6,90,5,j,2,2745,295,1,3,3,new,old,female,18
EA_exp_1b,4,1,49,182,10,69,9,j,2,1383,699,1,5,5,new,old,female,18
EA_exp_1b,4,1,50,13,9,160,10,d,2,1053,1021,1,5,5,old,new,female,18
EA_exp_1b,4,1,51,150,6,37,5,j,2,1200,635,1,3,3,new,old,female,18
EA_exp_1b,4,1,52,4,3,146,4,j,2,1532,603,0,2,2,old,new,female,18
EA_exp_1b,4,1,53,42,5,197,6,d,3,895,678,1,3,3,old,new,female,18
EA_exp_1b,4,1,54,77,5,178,6,d,2,887,494,1,3,3,old,new,female,18
EA_exp_1b,4,1,55,158,4,98,3,j,2,1159,371,1,2,2,new,old,female,18
EA_exp_1b,5,2,1,63,8,138,7,d,3,5373,2380,0,4,4,new,old,other,18
EA_exp_1b,5,2,2,7,4,143,3,d,3,1753,446,0,2,2,new,old,other,18
EA_exp_1b,5,2,3,55,6,159,5,j,4,968,1181,1,3,3,new,old,other,18
EA_exp_1b,5,2,4,200,3,70,4,d,3,2537,1247,1,2,2,old,new,other,18
EA_exp_1b,5,2,5,40,4,106,3,d,3,1833,299,0,2,2,new,old,other,18
EA_exp_1b,5,2,6,65,6,120,5,d,3,1199,278,0,3,3,new,old,other,18
EA_exp_1b,5,2,7,52,6,156,5,j,3,1207,898,1,3,3,new,old,other,18
EA_exp_1b,5,2,8,87,10,157,9,d,3,1052,459,0,5,5,new,old,other,18
EA_exp_1b,5,2,9,176,11,88,12,j,2,934,1082,0,6,6,old,new,other,18
EA_exp_1b,5,2,10,34,4,110,3,d,4,847,805,0,2,2,new,old,other,18
EA_exp_1b,5,2,11,99,6,114,5,j,3,1040,913,1,3,3,new,old,other,18
EA_exp_1b,5,2,12,12,6,182,5,d,3,3483,953,0,3,3,new,old,other,18
EA_exp_1b,5,2,13,148,5,18,6,j,4,1601,713,0,3,3,old,new,other,18
EA_exp_1b,5,2,14,41,10,151,9,d,2,700,1160,0,5,5,new,old,other,18
EA_exp_1b,5,2,15,13,10,191,9,d,3,1157,482,0,5,5,new,old,other,18
EA_exp_1b,5,2,16,81,4,162,3,j,2,1372,687,1,2,2,new,old,other,18
EA_exp_1b,5,2,17,44,4,116,3,d,4,722,654,0,2,2,new,old,other,18
EA_exp_1b,5,2,18,152,3,80,4,j,3,675,575,0,2,2,old,new,other,18
EA_exp_1b,5,2,19,49,10,132,9,d,2,709,402,0,5,5,new,old,other,18
EA_exp_1b,5,2,20,8,12,169,11,j,3,610,640,1,6,6,new,old,other,18
EA_exp_1b,5,2,21,141,5,2,6,d,2,611,437,1,3,3,old,new,other,18
EA_exp_1b,5,2,22,3,4,163,3,j,4,451,521,1,2,2,new,old,other,18
EA_exp_1b,5,2,23,36,10,149,9,d,3,354,397,0,5,5,new,old,other,18
EA_exp_1b,5,2,24,23,8,103,7,j,2,619,443,1,4,4,new,old,other,18
EA_exp_1b,5,2,25,19,8,170,7,d,3,310,404,0,4,4,new,old,other,18
EA_exp_1b,5,2,26,90,12,193,11,j,2,306,926,1,6,6,new,old,other,18
EA_exp_1b,5,2,27,105,3,38,4,j,2,149,443,0,2,2,old,new,other,18
EA_exp_1b,5,2,28,190,11,31,12,d,2,740,978,1,6,6,old,new,other,18
EA_exp_1b,5,2,29,166,9,9,10,j,2,328,997,0,5,5,old,new,other,18
EA_exp_1b,5,2,30,195,9,97,10,d,3,779,229,1,5,5,old,new,other,18
EA_exp_1b,5,2,31,98,8,112,7,j,2,1208,690,1,4,4,new,old,other,18
EA_exp_1b,5,2,32,27,8,125,7,d,2,950,264,0,4,4,new,old,other,18
EA_exp_1b,5,2,33,58,12,161,11,d,2,1084,313,0,6,6,new,old,other,18
EA_exp_1b,5,2,34,197,3,94,4,j,3,1226,354,0,2,2,old,new,other,18
EA_exp_1b,5,2,35,164,9,64,10,d,2,931,405,1,5,5,old,new,other,18
EA_exp_1b,5,2,36,62,4,188,3,j,3,814,299,1,2,2,new,old,other,18
EA_exp_1b,5,2,37,93,12,113,11,d,2,718,314,0,6,6,new,old,other,18
EA_exp_1b,5,2,38,144,5,59,6,j,3,1131,344,0,3,3,old,new,other,18
EA_exp_1b,5,2,39,39,4,175,3,d,1,822,383,0,2,2,new,old,other,18
EA_exp_1b,5,2,40,74,2,189,1,d,1,1196,231,0,1,1,new,old,other,18
EA_exp_1b,5,2,41,32,6,118,5,j,3,1419,381,1,3,3,new,old,other,18
EA_exp_1b,5,2,42,119,3,22,4,d,1,505,320,1,2,2,old,new,other,18
EA_exp_1b,5,2,43,56,4,142,3,d,2,894,422,0,2,2,new,old,other,18
EA_exp_1b,5,2,44,178,11,42,12,d,2,1235,282,1,6,6,old,new,other,18
EA_exp_1b,5,2,45,198,3,51,4,j,3,906,434,0,2,2,old,new,other,18
EA_exp_1b,5,2,46,127,7,20,8,d,1,511,338,1,4,4,old,new,other,18
EA_exp_1b,5,2,47,196,1,45,2,j,3,449,521,0,1,1,old,new,other,18
EA_exp_1b,5,2,48,35,12,104,11,d,1,403,395,0,6,6,new,old,other,18
EA_exp_1b,5,2,49,11,10,181,9,d,1,180,330,0,5,5,new,old,other,18
EA_exp_1b,5,2,50,173,7,26,8,d,1,122,303,1,4,4,old,new,other,18
EA_exp_1b,5,2,51,82,8,180,7,j,3,447,312,1,4,4,new,old,other,18
EA_exp_1b,5,2,52,185,7,30,8,j,1,476,287,0,4,4,old,new,other,18
EA_exp_1b,5,2,53,43,8,139,7,d,2,291,287,0,4,4,new,old,other,18
EA_exp_1b,5,2,54,91,6,128,5,j,3,211,290,1,3,3,new,old,other,18
EA_exp_1b,5,2,55,123,9,72,10,j,2,66,795,0,5,5,old,new,other,18
EA_exp_1b,5,2,56,184,5,15,6,j,2,713,389,0,3,3,old,new,other,18
EA_exp_1b,5,2,57,177,5,53,6,d,3,178,326,1,3,3,old,new,other,18
EA_exp_1b,5,2,58,172,7,21,8,j,2,36,382,0,4,4,old,new,other,18
EA_exp_1b,5,2,59,124,3,73,4,d,1,107,354,1,2,2,old,new,other,18
EA_exp_1b,5,2,60,28,6,155,5,d,2,79,903,0,3,3,new,old,other,18
